,Place,Event,Time,Date,Subject
11314,some cases,the dentition,,,
11315,,the outer side,,,
11316,the same region,,,,
11317,their true affinities,whose dentition,,,
11318,the way,they,,,
11319,a trot,he,,,
11320,privileges,which,,,
11321,a journey,Moscow,,,Joseph Alexeevich
11322,,La nation,,,L'Empereur Alexandre
11323,the first time,The thought,,,
11324,,she,,,
11325,,her,,,
11326,,she,,,Jekyll
11327,me,she,,,
11328,either side,he,,,
11329,,he,,,Len
11330,that cake and ice cream,I,,,
11331,,he,,,
11332,,,,,Yancey
11333,another name,he,,,Giddon
11334,,you,,,
11335,,,,,
11336,them,I,,,
11337,,I,,,
11338,,,,,
11339,,,,,
11340,,they,,,
11341,a man,she,,,
11342,the muscles,strong fingers,,,
11343,,she,,,
11344,,,,,
11345,you,me,,,
11346,,I,,,
11347,,,,,
11348,mine,I,,,
11349,Howie,I,,,Howie
11350,the lips,I,,,Betsy
11351,California,he,,,
11352,,,,,
11353,a concrete slab,what,,,
11354,,,,,
11355,,You,,,
11356,people,what,,,
11357,him,she,,,
11358,two weeks,He,,,
11359,either,He,,,
11360,,who,,,
11361,either side,She,,,
11362,either side,She,,,
11363,ikira,I,,,
11364,,if either you,,,Jonny
11365,either realm,Darian,,,Darian
11366,,she,,,
11367,,You,,,
11368,,,,,
11369,Deidre,Deidre,,,
11370,,who,,,Darkyn
11371,either side,dark eyes,,,
11372,the life,she,,,
11373,,she,,,
11374,Deidre,,,,
11375,,,,,
11376,,I,,,
11377,either side,that,,,
11378,a rush,she,,,
11379,,who,,,
11380,the determination,Fitzgerald,,,Fitzgerald
11381,,,,,
11382,,I,,,
11383,,,,,
11384,,lawyers,,,
11385,,,,,
11386,,it,,,
11387,,The boys,,,
11388,,either,,,
11389,spite,I,,,
11390,,she,,,David Dean
11391,a rental,Dean,,,Dawkins
11392,her husband,Cynthia,,,Cynthia
11393,either side,,,,
11394,,I,,,Fitzgerald
11395,Josh,nobody,,,Josh
11396,the Lucky Pup Mine,,,,Cynthia
11397,,the truth,,,Dawkins
11398,,each,,,Dean
11399,,she,,,Dean
11400,,David Dean,,,Lydia Larkin's
11401,his previous visit,He,,,
11402,,you,,,
11403,the election,you,,,
11404,,You,,,
11405,Deidre,anyone,,,Gabriel
11406,either deity,,,,
11407,the idea,Gabriel,,,Gabriel
11408,,,,,
11409,,she,,,
11410,,,,,Josh
11411,either,,,,
11412,that man,I,,,
11413,,she,,,
11414,,the situation,,,
11415,Josh,All the answers,,,Lori
11416,either,Alex,,,
11417,,,,,
11418,either,,,,
11419,her,she,,,
11420,her,his eyes,,,
11421,,she,,,
11422,a curtained doorway,He,,,
11423,either woman,He,,,
11424,her death,,,,
11425,her own hands,,,,
11426,,nothing,,,
11427,,,,,
11428,either side,He,,,
11429,,He,,,
11430,a private one,his predecessor,,,
11431,the table,We,,,
11432,,she,,,
11433,,You,,,
11434,Deidre,Deidre,,,
11435,three months,she,,,
11436,her,who,,,
11437,either frustration,Gabriel,,,Gabriel
11438,either a complete stranger,you,,,
11439,,I,,,
11440,either side,his long legs,,,Gabriel
11441,either life,I,,,
11442,,I,,,
11443,,You,,,
11444,me,Gabriel,,,Gabriel
11445,,he,,,
11446,,He,,,
11447,the outside grill,Dean,,,Dean
11448,his companion,Neither,,,Dean
11449,the house,He,,,
11450,,The neighbors,,,Mayer
11451,,he,,,
11452,western style beans,Dean,,,Dean
11453,any good country music,she,,,
11454,,Emma Blanding,,,Emma Blanding
11455,the warmth,he,,,Dean
11456,you,,,,
11457,,,,,
11458,,,,,
11459,,he,,,
11460,,him,,,
11461,,we,,,
11462,days,,,,
11463,,,,,
11464,the moment,she,,,
11465,either side,The wedding cake,,,
11466,,,,,
11467,,,,,
11468,it,she,,,
11469,,,,,
11470,,,,,
11471,,she,,,Katie
11472,,he,,,Lori
11473,it,she,,,
11474,,,,,
11475,either animal,Carmen,,,Ed
11476,her,,,,
11477,,I,,,
11478,,you,,,
11479,,him,,,
11480,,,,,
11481,,I,,,
11482,,I,,,
11483,her heels,that,,,
11484,,You,,,
11485,,Josh,,,Josh
11486,,She,,,
11487,her shoulders,Alex,,,Alex
11488,someone,you,,,
11489,either world,he,,,
11490,,You,,,
11491,dirt,,,,
11492,something,she,,,Dusty
11493,,Darian,,,Darian
11494,,Things,,,
11495,,Darian,,,Darian
11496,that kiss,He,,,Jenn
11497,,I,,,
11498,,it,,,
11499,,she,,,
11500,,You,,,
11501,,Darian,,,Darian
11502,him,The demon,,,
11503,war,,,,
11504,,,,,
11505,,He,,,
11506,,,,,
11507,people,He,,,
11508,,muscles,,,
11509,,I,,,
11510,,,,,Tiyan
11511,either side,Taran,,,
11512,either case,he,,,
11513,times,I,,,
11514,his way,it,,,
11515,her,I,,,
11516,front,we,,,
11517,,Alex,,,Alex
11518,either side,Destiny,,,Alex
11519,the gate,they,,,
11520,the wild,They,,,
11521,,she,,,
11522,,,,,
11523,,Candice,,,
11524,,I,,,
11525,her,he,,,Gerald
11526,the last few weeks,she,,,
11527,,I,,,
11528,,I,,,
11529,,he,,,
11530,any other creature,You,,,
11531,either world,we,,,
11532,her,he,,,
11533,,He,,,
11534,,Your cholesterol,,,
11535,either side,He,,,
11536,his strong thighs,The nearness,,,
11537,,You,,,
11538,either,you,,,
11539,,I,,,
11540,,she,,,Charles
11541,either permission,she,,,
11542,his knees,a quick-witted woman,,,
11543,,You,,,
11544,him,,,,
11545,metal,,,,
11546,the land,,,,
11547,the other his soul's complement,,,,
11548,,The maxillary palps,,,
11549,which,,,,
11550,a formula,an insulated conductor,,,
11551,Freiburg,Gockel,,,
11552,n=-Vg,,,,
11553,success,,,,
11554,,Colon,,,
11555,either,,,,
11556,the state,,,,
11557,the Hall books,his name,,,Winchester
11558,either college,,,,
11559,it,,,,
11560,,Portocarrero,,,
11561,a transverse beam,,,,
11562,which,,,,
11563,,,,,
11564,two slides,I,,,
11565,the same direction,which,,,
11566,,The distance,,,
11567,the ground,all these concordats,,,
11568,force,The numerous concordats,,,
11569,its operation,the Commons,,,James
11570,,He,,,
11571,"the ""cat o' nine tails",,,,
11572,his observations,,,,
11573,the ordinary black and tabby kink-tailed cats,the latter feature,,,
11574,either French,he,,,
11575,confiscation,,,,
11576,Africa,,,,Gondwana
11577,,,,,
11578,,She,,,
11579,,an unidentified entity,,,
11580,,,,,
11581,,,,,
11582,,,,,
11583,,,,,
11584,a bright and somewhat impetuous youth,you,,,
11585,an object,The ITASCA model,,,
11586,virtually the whole world,that,,,
11587,a clan,The rules,,,
11588,the domestic market,,,,
11589,,you,,,
11590,a non-human entity,John,,,Mother
11591,February,The joint entity,,,
11592,,it,,,
11593,,a private entity,,,
11594,,God,,,
11595,,,,,
11596,,Mike Ashman,,,Mike Ashman
11597,a self-sufficient dynamic entity,He,,,
11598,the entity declaration,,,,
11599,the repercussions,I,,,
11600,,you,,,
11601,the community,A charitable organization's web site,,,
11602,the type,you,,,
11603,proposals,the particular funding entity,,,
11604,a quiet entity,the organization,,,
11605,,that,,,
11606,the sense,this colour,,,Aristotle
11607,,each,,,
11608,finite understandings,they,,,
11609,,the subject,,,Julie and Howie
11610,a demon,that,,,
11611,any given business venture,Our lawyers,,,
11612,,government agencies,,,
11613,,,,,
11614,a string,,,,
11615,the business entity,The agent,,,
11616,,,,,
11617,,help,,,
11618,some way,The contents,,,
11619,any entity,which,,,
11620,the destruction,he,,,
11621,,The topology file,,,
11622,,God,,,
11623,the insurance,you,,,
11624,,,,,
11625,,you,,,
11626,a state,the patterns,,,
11627,a governmental entity,,,,
11628,state,,,,
11629,order,you,,,
11630,the court system,Tasks,,,
11631,,you,,,
11632,,the entity,,,
11633,a specific exempt purpose,an entity,,,
11634,the nonprofit entity,a person,,,
11635,donations,Most nonprofit organizations,,,
11636,,,,,Juicy Couture
11637,hip-hop urban designs,Baby Phat,,,Baby Phat
11638,,Anne Klein,,,
11639,,who,,,
11640,Kate,The unseen entity,,,Kate
11641,his desperate greed,The painter,,,
11642,a large knife,the entity,,,
11643,the Bell Witch,Tennessee farmer John Bell,,,John Bell
11644,something,,,,
11645,,an entity,,,
11646,,they,,,
11647,her meditative state,she,,,Seth
11648,,,,,
11649,proof,Investigators,,,
11650,ghosts,the entity,,,
11651,,,,,Bass
11652,a nationally recognized entity,The brand,,,
11653,each entity,You,,,
11654,the same person,,,,
11655,addition,,,,
11656,,the entity,,,
11657,the course,who,,,
11658,yuor work,one single client or entity sends,,,
11659,the process,you,,,
11660,,,,,
11661,,,,,
11662,,,,,
11663,,,,,
11664,a fair and uniform fashion,that,,,
11665,the original Star Trek series,that,,,
11666,pigshit,that,,,Tina Turner
11667,,them,,,Max
11668,Q,we,,,
11669,its own entity,who,,,
11670,recent years,negative publicity,,,
11671,"a single, cohesive entity",the deep state,,,
11672,,it,,,
11673,a distinct entity,,,,
11674,,,,,
11675,,the human mind,,,
11676,many years,,,,
11677,,,,,
11678,that entity,that,,,
11679,,The encoding declaration,,,
11680,,,,,
11681,a self-contained entity,,,,
11682,a separate clinico-pathological entity,This,,,
11683,,,,,
11684,my right,The entity,,,Death
11685,a horribly mutated face,He,,,
11686,the parent component,It,,,
11687,a political entity,I,,,
11688,,,,,
11689,his view,no actual entity,,,Buddha
11690,a completely autonomous entity,which,,,
11691,,entity references,,,
11692,the table,you,,,
11693,,,,,
11694,the basic model,,,,
11695,,your cat,,,
11696,,,,,
11697,this foundation,project managers,,,
11698,its repertoire,the entity,,,
11699,a separate entity,each line,,,
11700,a bad omen,A few legends,,,
11701,,that,,,Mouse Planet
11702,order,you,,,Guardian Angel
11703,,The governmental entity,,,
11704,a state-recognized entity,the program,,,
11705,,you,,,
11706,someone,,,,
11707,closing costs,a buyer,,,
11708,every incorporated entity,,,,
11709,,your organization,,,
11710,,,,,Russell Simmons
11711,a fashion entity,Baby Phat,,,Baby Phat
11712,,the paranormal activity,,,
11713,the witch's accurate 1828 predictions,some,,,
11714,an invisible entity,The family,,,
11715,,it,,,
11716,,The thought,,,
11717,a conduit,a spirit,,,
11718,,No person,,,
11719,a medium,,,,
11720,non-corporal form,the entity,,,
11721,an exclusive entity,,,,
11722,order,you,,,
11723,,,,,
11724,the entity,you,,,
11725,,,,,
11726,,,,,
11727,,many dealerships,,,
11728,a new entity,Morris Garages,,,Morris Garages
11729,,performers,,,
11730,,,,,
11731,,that,,,
11732,the Continuum,individuals,,,
11733,various medical tests,,,,
11734,the series premier,we,,,
11735,,Fantasy,,,
11736,the demarcation,the whole intervening space,,,
11737,a natural consequence,the practical application,,,
11738,extravagances,he,,,Broussais
11739,the close,Its modern history,,,
11740,a separate political entity,,,,
11741,a distinct and independent entity,who,,,Slouschz
11742,â€œPersonâ€,,,,
11743,the new body,which,,,
11744,one nation,it,,,
11745,the united Italian kingdom,Naples,,,Sicily
11746,the infinite,he,,,
11747,an independent spiritual entity,even the Law,,,Law
11748,the Roman empire,those,,,
11749,Italy,the people,,,Tuscany
11750,ego,an entity,,,
11751,those parts,Scythia,,,
11752,temperature,we,,,
11753,the very outset fundamental causes,,,,
11754,"the ""open door",He,,,
11755,which,the mind,,,
11756,,,,,
11757,an excretory process,he,,,Lavoisier
11758,,It,,,
11759,twelve local jurors,which,,,
11760,,no moral principles,,,
11761,,he,,,
11762,our knowledge,that,,,
11763,a distinct entity,he,,,
11764,constituent atoms,we,,,
11765,each corn stalk,a farmer,,,
11766,the trees,a large black furry form,,,
11767,her gaze,the tears,,,
11768,front,his form,,,
11769,the counter,She,,,
11770,the mail,I,,,
11771,,it,,,
11772,a form,I,,,
11773,Madame de Souza,His servant,,,
11774,,,,,
11775,,Cat,,,
11776,the adoption form,the note,,,
11777,his desk,Weller,,,
11778,other metals,It,,,
11779,the heathen,the Israelite,,,Yahweh
11780,the same path,the other sciences,,,
11781,Russia,,,,
11782,a considerable depth,These rocks,,,
11783,the inclusion,which,,,Pahang
11784,,,,,
11785,,This simple form,,,
11786,Geoffroy Saint-Hilaire,,,,Geoffroy Saint-Hilaire
11787,the later years,,,,
11788,the physicist,,,,
11789,the trade-mark,It,,,
11790,,which,,,Upper Silesian
11791,rays,Coins,,,
11792,which,the quays,,,
11793,,Tossett,,,
11794,the 14th century,,,,
11795,Kotschy,The spreading branches,,,
11796,the foliage changes,The catkins,,,
11797,i 50 or 200 years,The tree,,,
11798,the Acanthocephala,,,,Acanthocephala
11799,the railway companies,,,,Varley
11800,the surface,which,,,
11801,a large white cupola,,,,
11802,the acorn,the nutritive portion,,,
11803,a violet tint,they,,,
11804,desolation,the state,,,
11805,the 12th,who,,,
11806,a sudden steady rise,the latter,,,
11807,an equatorial maximum belt,,,,
11808,,he,,,
11809,,domestic slavery,,,
11810,Samirina,whence,,,
11811,right angles,which,,,
11812,which,the tube class,,,
11813,electricity possesses energy,a charge,,,
11814,Newton's time,,,,
11815,a connected series,he,,,
11816,anything,no one,,,
11817,the work proceeds,it,,,
11818,those,which,,,
11819,the perivisceral cavity,this,,,
11820,a metamorphosis,they,,,Filaria
11821,the daytime,,,,Microfilaria
11822,the subcutaneous tissues,,,,Filaria
11823,Rochester,which,,,
11824,a state,they,,,
11825,,Marriage,,,
11826,a fine,,,,
11827,a dial,each,,,
11828,C,,,,
11829,Europe,The form,,,
11830,two bells,which,,,
11831,fig,,,,
11832,P,,,,
11833,the same way,,,,
11834,a paper strip,which,,,
11835,column form,This operation,,,
11836,this modified form,,,,
11837,the French government,,,,
11838,means,The Baudot apparatus,,,
11839,the form,,,,
11840,a speed,,,,
11841,letters,that,,,
11842,the telegraph form,,,,
11843,"the "" mirror",,,,
11844,land,These indications,,,
11845,Dr Muirhead,,,,Dr Muirhead
11846,hot climates,the magnets,,,
11847,the form,the speed,,,
11848,induction,1885 Preece,,,telephonic speech
11849,a way,The difficulty,,,Smith
11850,the end,He,,,
11851,,This form,,,
11852,the other spark ball,,,,
11853,the secondary circuit,he,,,
11854,the form,which,,,
11855,the form,This,,,
11856,the form,These,,,
11857,clockwork,,,,
11858,Quantitative Work,Fleming,,,Roy
11859,,such a detector,,,
11860,thermoelectricity,Klemencig,,,
11861,the properties,,,,
11862,the receiving end,they,,,Marconi
11863,the receiving station,it,,,
11864,the form,its horizontal part,,,
11865,West Teignmouth,Two parishes,,,
11866,,the dialect,,,
11867,the majority,they,,,
11868,the form,,,,
11869,the form,the quality,,,
11870,two cylindrical tin cups,the bottoms,,,
11871,the centre,which,,,
11872,the centre,he,,,
11873,the discovery,This,,,
11874,syrup,,,,
11875,a speaking-telephone transmitter,this,,,
11876,the annunciator,which,,,
11877,a type,,,,
11878,,,,,
11879,form,The early authorities,,,
11880,a convenient form,,,,St Bonaventura's
11881,the Werra,which,,,Werra
11882,the terrestrial type,a pair,,,
11883,the northern boundary,the Alps,,,Alpine
11884,the mountain ranges,which,,,
11885,about 10 m.,The Euganean hills,,,
11886,malaria,the Pontine Marshes,,,Pontine Marshes
11887,aloes,the mastic,,,
11888,America,Italians,,,
11889,dairy purposes,,,,
11890,the 22nd,A law,,,
11891,large holdings,,,,
11892,under-tenants,which,,,
11893,tenant,,,,
11894,artistic form,,,,
11895,the obligation,who,,,
11896,,,,,
11897,,,,,Cassa Ecclesiastica
11898,charitable and educational institutions,,,,
11899,the court,which appeal,,,
11900,their conquest,,,,
11901,a Parlamento,the citizens,,,
11902,the principal events,,,,
11903,this epoch,they,,,
11904,the moment,the question,,,
11905,France,Pius,,,Pellegrino Rossi
11906,the task,,,,
11907,Louis Napoleons advice,the pope,,,
11908,which,the emperor,,,St Peter
11909,which,Sella,,,Sellas
11910,the question,Crispi,,,
11911,the form,Nemesis,,,
11912,the probability,Depretis,,,
11913,its expiry,it,,,
11914,the Far East,who,,,Marquis Visconti Venosta
11915,,,,,
11916,a long and worm-like shape,,,,
11917,response,both these works,,,
11918,the metre,which,,,metre Gayatri
11919,,That,,,
11920,our peril,,,,
11921,,The problem,,,
11922,God,We,,,
11923,,Hegel,,,Hegel
11924,the intuitionalist scheme,history,,,
11925,Hegel,,,,Hegel
11926,the garb,we,,,Hegel
11927,form,The threatened dualism,,,
11928,those,He,,,
11929,form,even an Augustine,,,
11930,,the question,,,
11931,the lines,Descartes's preliminary statement,,,
11932,an intuitionalist,,,,
11933,contingent,it,,,
11934,its roughest popular form,he,,,
11935,,,,,
11936,some qualified and restricted form,empiricism,,,
11937,hand,,,,Magna Carta
11938,later times,,,,Magna Carta
11939,its perfect and completed form,,,,
11940,all seas,The Hydromedusae,,,Hydromedusae
11941,the crown,the body,,,
11942,places,The epithelial layer,,,
11943,,,,,
11944,which,which,,,
11945,the substratum,which,,,
11946,the same polyp,com plexly,,,Calyptoblastea
11947,a third bud,which,,,
11948,it,the manubrium,,,medusa Limnocnida
11949,,,,,
11950,the margin,,,,Tentakelspangen
11951,the sub-umbral cavity,they,,,
11952,,The distal portions,,,
11953,the base,the central nervous system,,,Hydromedusae
11954,the margin,they,,,
11955,a clear gelatinous secretion,,,,Nat
11956,,The non-sexua 1 reproduction,,,
11957,structure,,,,Leptomedusae
11958,those,that,,,medusae
11959,size,that,,,
11960,each cell,it,,,
11961,nothing,,,,
11962,contact,the founder-polyp,,,
11963,an ancestral form,which,,,
11964,,,,,
11965,,individuals,,,
11966,,,,,Tetraplatia volitans
11967,,,,,
11968,,,,,
11969,tufts,,,,
11970,Globiceps,,,,Globiceps
11971,,the colony,,,
11972,a stalk,which,,,
11973,,Prolongations,,,
11974,certain Leptomedusae,,,,Leptomedusae
11975,all other Hydromedusae,which,,,
11976,groups,the cormus,,,
11977,different functions,various types,,,
11978,,The orifice,,,
11979,""" gonosiphons",which,,,free medusae
11980,a pore,the pit,,,
11981,floating polyps,,,,
11982,,The polyp-individuals,,,
11983,a cross,The cloisters,,,
11984,,,,,
11985,various combinations,all things,,,Empedocles
11986,a transition,Aristotle's distinction,,,
11987,a gradually descending emanation,,,,Kabbala
11988,,he,,,Avicebron
11989,the plastic substratum,,,,
11990,the real unchanging substance,,,,
11991,,the activity,,,
11992,every doctrine,,,,
11993,this,he,,,Kant
11994,a progressive evolution,it,,,Hegel
11995,,he,,,
11996,which,who,,,Caspar Frederick Wolff
11997,the influence,none,,,
11998,which,this conception,,,
11999,fact,the embryo,,,Aristotle
12000,the summit,every existing form,,,
12001,such a condition,that,,,
12002,the present structure,whatever,,,
12003,a certain regular forensic form,,,,
12004,western Europe,,,,
12005,his duty,he,,,
12006,the form,,,,
12007,the first premolar,,,,
12008,,,,,
12009,the wide extent,he,,,Gotama the Buddha
12010,the generations,they,,,Buddha
12011,the sacred texts,we,,,Franke
12012,the world,they,,,Aurelius
12013,Wallis downwards,torrents,,,
12014,the nearly vertical growth,,,,
12015,its larger and more rapid growth,,,,
12016,Canada,it,,,
12017,other species,it,,,
12018,wealthy people,it,,,
12019,the purchaser,,,,
12020,Persian,the Talyshes,,,
12021,the time,who,,,Virgil
12022,which,The Bryophyta,,,
12023,the Cellular PlantsThallophyta,they,,,
12024,the other group,the internal structure,,,
12025,the vicinity,which,,,
12026,which,the carpel,,,
12027,fusion,which,,,
12028,,,,,
12029,its turn,whose cells,,,
12030,the midrib,which,,,
12031,chromatophores,which,,,
12032,so high a pitch,,,,Rhodophyceae
12033,that,each,,,
12034,,they,,,
12035,teeth,,,,
12036,the stem,,,,
12037,the typical forms,this last division,,,
12038,a stalk,others,,,
12039,any direct connection,they,,,
12040,the leafPhloeo- blade,it,,,
12041,the form,it,,,
12042,the whole body,,,,
